date,target
2019-06-21,0
2019-06-21,0
2019-06-21,276
2019-06-21,276
2019-06-21,276
2019-06-21,276
2019-06-21,555
2019-06-21,555
2019-06-21,555
2019-06-21,555
2019-06-22,0
2019-06-22,0
2019-06-22,0
2019-06-22,645
2019-06-22,645
2019-06-22,645
2019-06-22,192
2019-06-22,192
2019-06-22,192
2019-06-23,0
2019-06-23,0
2019-06-23,0
2019-06-23,0
2019-06-23,141
2019-06-23,141
2019-06-23,141
2019-06-23,141
2019-06-23,612
2019-06-23,612
2019-06-23,612
2019-06-23,612
2019-06-24,0
2019-06-24,0
2019-06-24,0
2019-06-24,410
2019-06-24,410
2019-06-24,410
2019-06-24,137
2019-06-24,137
2019-06-24,137
2019-06-25,0
2019-06-25,0
2019-06-25,0
2019-06-25,0
2019-06-25,145
2019-06-25,145
2019-06-25,145
2019-06-25,145
2019-06-25,542
2019-06-25,542
2019-06-25,542
2019-06-25,542
2019-06-26,0
2019-06-26,0
2019-06-26,0
2019-06-26,612
2019-06-26,612
2019-06-26,612
2019-06-26,461
2019-06-26,461
2019-06-26,461
2019-06-27,0
2019-06-27,0
2019-06-27,0
2019-06-27,0
2019-06-27,203
2019-06-27,203
2019-06-27,203
2019-06-27,203
2019-06-27,703
2019-06-27,703
2019-06-27,703
2019-06-27,703
2019-06-28,0
2019-06-28,0
2019-06-28,0
2019-06-28,0
2019-06-28,478
2019-06-28,478
2019-06-28,478
2019-06-28,478
2019-06-28,424
2019-06-28,424
2019-06-28,424
2019-06-28,424
2019-06-29,1
2019-06-29,1
2019-06-29,1
2019-06-29,731
2019-06-29,731
2019-06-29,731
2019-06-29,189
2019-06-29,189
2019-06-29,189
2019-06-30,0
2019-06-30,0
2019-06-30,0
2019-06-30,0
2019-06-30,154
2019-06-30,154
2019-06-30,154
2019-06-30,154
2019-06-30,731
2019-06-30,731
2019-06-30,731
2019-06-30,731
2019-06-30,4
2019-06-30,4
2019-06-30,4
2019-06-30,4
2019-07-01,0
2019-07-01,0
2019-07-01,0
2019-07-01,0
2019-07-01,454
2019-07-01,454
2019-07-01,454
2019-07-01,454
2019-07-01,636
2019-07-01,636
2019-07-01,636
2019-07-01,636
2019-07-02,0
2019-07-02,0
2019-07-02,0
2019-07-02,678
2019-07-02,678
