date,target
2017-05-20,686
2017-05-21,-27
2017-05-21,-27
2017-05-21,-27
2017-05-21,-27
2017-05-21,-1124
2017-05-21,-1124
2017-05-21,-1124
2017-05-21,-1124
2017-05-21,-620
2017-05-21,-620
2017-05-21,-620
2017-05-21,-620
2017-05-21,-67
2017-05-21,-67
2017-05-21,-67
2017-05-21,-67
2017-05-22,-332
2017-05-22,-332
2017-05-22,-332
2017-05-22,46
2017-05-22,46
2017-05-22,46
2017-05-22,-307
2017-05-22,-307
2017-05-22,-307
2017-05-23,-39
2017-05-23,-39
2017-05-23,-39
2017-05-23,-39
2017-05-23,-31
2017-05-23,-31
2017-05-23,-31
2017-05-23,-31
2017-05-23,-93
2017-05-23,-93
2017-05-23,-93
2017-05-23,-93
2017-05-23,362
2017-05-23,362
2017-05-23,362
2017-05-23,362
2017-05-24,-26
2017-05-24,-26
2017-05-24,-26
2017-05-24,-26
2017-05-24,497
2017-05-24,497
2017-05-24,497
2017-05-24,497
2017-05-24,-283
2017-05-24,-283
2017-05-24,-283
2017-05-24,-283
2017-05-24,-131
2017-05-24,-131
2017-05-24,-131
2017-05-24,-131
2017-05-25,-506
2017-05-25,-506
2017-05-25,-506
2017-05-25,-506
2017-05-25,83
2017-05-25,83
2017-05-25,83
2017-05-25,83
2017-05-25,-69
2017-05-25,-69
2017-05-25,-69
2017-05-25,-69
2017-05-25,-263
2017-05-25,-263
2017-05-25,-263
2017-05-25,-263
2017-05-26,263
2017-05-26,263
2017-05-26,263
2017-05-26,399
2017-05-26,399
2017-05-26,399
2017-05-26,468
2017-05-26,468
2017-05-26,468
2017-05-27,296
2017-05-27,296
2017-05-27,296
2017-05-27,296
2017-05-27,316
2017-05-27,316
2017-05-27,316
2017-05-27,316
2017-05-27,-6
2017-05-27,-6
2017-05-27,-6
2017-05-27,-6
2017-05-27,394
2017-05-27,394
2017-05-27,394
2017-05-27,394
2017-05-28,-683
2017-05-28,-683
2017-05-28,-683
2017-05-28,-683
2017-05-28,-807
2017-05-28,-807
2017-05-28,-807
2017-05-28,-807
2017-05-28,-1163
2017-05-28,-1163
2017-05-28,-1163
2017-05-28,-1163
2017-05-28,245
2017-05-28,245
2017-05-28,245
2017-05-28,245
2017-05-29,-788
2017-05-29,-788
2017-05-29,-788
2017-05-29,-788
2017-05-29,675
2017-05-29,675
2017-05-29,675
2017-05-29,675
2017-05-29,388
2017-05-29,388
2017-05-29,388
2017-05-29,388
2017-05-29,776
2017-05-29,776
2017-05-29,776
2017-05-29,776
2017-05-30,301
2017-05-30,301
2017-05-30,301
2017-05-30,387
2017-05-30,387
2017-05-30,387
2017-05-30,357
2017-05-30,357
2017-05-30,357
2017-05-31,-174
2017-05-31,-174
2017-05-31,-174
2017-05-31,-174
2017-05-31,31
2017-05-31,31
2017-05-31,31
2017-05-31,31
2017-05-31,405
2017-05-31,405
2017-05-31,405
2017-05-31,405
2017-05-31,372
2017-05-31,372
2017-05-31,372
2017-05-31,372
2017-06-01,-372
2017-06-01,-372
2017-06-01,-372
2017-06-01,-372
2017-06-01,-478
2017-06-01,-478
2017-06-01,-478
2017-06-01,-478
2017-06-01,-466
2017-06-01,-466
2017-06-01,-466
2017-06-01,-466
2017-06-01,313
2017-06-01,313
2017-06-01,313
2017-06-01,313
2017-06-02,-528
2017-06-02,-528
2017-06-02,-528
2017-06-02,-528
2017-06-02,-157
2017-06-02,-157
2017-06-02,-157
2017-06-02,-157
2017-06-02,-309
2017-06-02,-309
2017-06-02,-309
2017-06-02,-309
2017-06-02,-257
2017-06-02,-257
2017-06-02,-257
2017-06-02,-257
2017-06-03,-555
2017-06-03,-555
2017-06-03,-555
2017-06-03,-555
2017-06-03,-811
2017-06-03,-811
2017-06-03,-811
2017-06-03,-811
2017-06-03,-881
2017-06-03,-881
2017-06-03,-881
2017-06-03,-881
2017-06-03,-574
2017-06-03,-574
2017-06-03,-574
2017-06-03,-574
2017-06-04,-176
2017-06-04,-176
2017-06-04,-176
2017-06-04,-934
2017-06-04,-934
2017-06-04,-934
2017-06-04,-696
2017-06-04,-696
2017-06-04,-696
2017-06-05,-928
2017-06-05,-928
2017-06-05,-928
2017-06-05,-928
2017-06-05,-443
2017-06-05,-443
2017-06-05,-443
2017-06-05,-443
2017-06-05,-983
2017-06-05,-983
2017-06-05,-983
2017-06-05,-983
2017-06-05,-729
2017-06-05,-729
2017-06-05,-729
2017-06-05,-729
2017-06-06,-467
2017-06-06,-467
2017-06-06,-467
2017-06-06,-467
2017-06-06,101
2017-06-06,101
2017-06-06,101
2017-06-06,101
2017-06-06,-220
2017-06-06,-220
2017-06-06,-220
2017-06-06,-220
2017-06-06,166
2017-06-06,166
2017-06-06,166
2017-06-06,166
2017-06-07,-165
2017-06-07,-165
2017-06-07,-165
2017-06-07,-165
2017-06-07,521
2017-06-07,521
2017-06-07,521
2017-06-07,521
2017-06-07,-59
2017-06-07,-59
2017-06-07,-59
2017-06-07,-59
2017-06-07,-339
2017-06-07,-339
2017-06-07,-339
2017-06-07,-339
2017-06-08,-93
2017-06-08,-93
2017-06-08,-93
2017-06-08,481
2017-06-08,481
2017-06-08,481
2017-06-08,-615
2017-06-08,-615
2017-06-08,-615
2017-06-09,-1042
2017-06-09,-1042
2017-06-09,-1042
2017-06-09,-1042
2017-06-09,-1157
2017-06-09,-1157
2017-06-09,-1157
2017-06-09,-1157
2017-06-09,-1199
2017-06-09,-1199
2017-06-09,-1199
2017-06-09,-1199
2017-06-09,-1058
2017-06-09,-1058
2017-06-09,-1058
2017-06-09,-1058
2017-06-10,-1158
2017-06-10,-1158
2017-06-10,-1158
2017-06-10,-1158
2017-06-10,-795
2017-06-10,-795
2017-06-10,-795
2017-06-10,-795
2017-06-10,-961
2017-06-10,-961
2017-06-10,-961
2017-06-10,-961
2017-06-10,293
2017-06-10,293
2017-06-10,293
2017-06-10,293
2017-06-11,-398
2017-06-11,-398
2017-06-11,-398
2017-06-11,-398
2017-06-11,-421
2017-06-11,-421
2017-06-11,-421
2017-06-11,-421
2017-06-11,-913
2017-06-11,-913
2017-06-11,-913
2017-06-11,-913
2017-06-11,50
2017-06-11,50
2017-06-11,50
2017-06-11,50
2017-06-12,-340
2017-06-12,-340
2017-06-12,-340
2017-06-12,-340
2017-06-12,154
2017-06-12,154
2017-06-12,154
2017-06-12,154
2017-06-12,6
2017-06-12,6
2017-06-12,6
2017-06-12,6
2017-06-12,-345
2017-06-12,-345
2017-06-12,-345
2017-06-12,-345
2017-06-13,-675
2017-06-13,-675
2017-06-13,-675
2017-06-13,-260
2017-06-13,-260
2017-06-13,-260
2017-06-13,-287
2017-06-13,-287
2017-06-13,-287
2017-06-14,-594
2017-06-14,-594
2017-06-14,-594
2017-06-14,-594
2017-06-14,-910
2017-06-14,-910
2017-06-14,-910
2017-06-14,-910
2017-06-14,23
2017-06-14,23
2017-06-14,23
2017-06-14,23
2017-06-14,203
2017-06-14,203
2017-06-14,203
2017-06-14,203
2017-06-15,-487
2017-06-15,-487
2017-06-15,-487
2017-06-15,-487
2017-06-15,-41
2017-06-15,-41
2017-06-15,-41
2017-06-15,-41
2017-06-15,-298
2017-06-15,-298
2017-06-15,-298
2017-06-15,-298
2017-06-15,290
2017-06-15,290
2017-06-15,290
2017-06-15,290
2017-06-16,-460
2017-06-16,-460
2017-06-16,-460
2017-06-16,-460
2017-06-16,126
2017-06-16,126
