date,target
2020-01-06,61
2020-01-06,67
2020-01-06,67
2020-01-06,67
2020-01-06,67
2020-01-06,66
2020-01-06,66
2020-01-06,66
2020-01-06,66
2020-01-06,62
2020-01-06,62
2020-01-06,62
2020-01-06,62
2020-01-07,62
2020-01-07,62
2020-01-07,66
2020-01-07,66
2020-01-08,64
2020-01-08,64
2020-01-08,69
2020-01-08,69
2020-01-09,74
2020-01-09,74
2020-01-09,74
2020-01-09,72
2020-01-09,72
2020-01-09,72
2020-01-09,66
2020-01-09,66
2020-01-09,66
2020-01-10,64
2020-01-10,64
2020-01-10,64
2020-01-10,64
2020-01-10,73
2020-01-10,73
2020-01-10,73
2020-01-10,73
2020-01-10,67
2020-01-10,67
2020-01-10,67
2020-01-10,67
2020-01-10,70
2020-01-10,70
2020-01-10,70
2020-01-10,70
2020-01-11,66
2020-01-11,66
2020-01-11,66
2020-01-11,66
2020-01-11,68
2020-01-11,68
2020-01-11,68
2020-01-11,68
2020-01-11,64
2020-01-11,64
2020-01-11,64
2020-01-11,64
2020-01-12,64
2020-01-12,64
2020-01-12,64
2020-01-12,64
2020-01-12,66
2020-01-12,66
2020-01-12,66
2020-01-12,66
2020-01-13,66
2020-01-13,66
2020-01-13,66
2020-01-13,66
2020-01-13,64
2020-01-13,64
2020-01-13,64
2020-01-13,64
2020-01-13,73
2020-01-13,73
2020-01-13,73
2020-01-13,73
2020-01-13,72
2020-01-13,72
2020-01-13,72
2020-01-13,72
2020-01-13,67
2020-01-13,67
2020-01-13,67
2020-01-13,67
2020-01-14,68
2020-01-14,68
2020-01-14,68
2020-01-14,68
2020-01-14,75
2020-01-14,75
2020-01-14,75
2020-01-14,75
2020-01-14,73
2020-01-14,73
2020-01-14,73
2020-01-14,73
2020-01-14,69
2020-01-14,69
2020-01-14,69
2020-01-14,69
2020-01-15,67
2020-01-15,67
2020-01-15,67
2020-01-15,67
2020-01-15,70
2020-01-15,70
2020-01-15,70
2020-01-15,70
2020-01-15,68
2020-01-15,68
2020-01-15,68
2020-01-15,68
2020-01-16,56
2020-01-16,56
2020-01-16,56
2020-01-16,56
2020-01-16,58
2020-01-16,58
2020-01-16,58
2020-01-16,58
2020-01-16,69
2020-01-16,69
2020-01-16,69
2020-01-16,69
2020-01-17,64
2020-01-17,64
2020-01-17,64
2020-01-17,64
2020-01-17,68
2020-01-17,68
2020-01-17,68
2020-01-17,68
2020-01-17,72
2020-01-17,72
2020-01-17,72
2020-01-17,72
2020-01-18,68
2020-01-18,68
2020-01-18,68
2020-01-19,66
2020-01-19,66
2020-01-19,66
2020-01-19,66
2020-01-19,69
2020-01-19,69
2020-01-19,69
2020-01-19,69
2020-01-19,68
2020-01-19,68
2020-01-19,68
2020-01-19,68
2020-01-19,73
2020-01-19,73
2020-01-19,73
2020-01-19,73
2020-01-20,70
2020-01-20,70
2020-01-20,70
2020-01-20,70
2020-01-20,67
2020-01-20,67
2020-01-20,67
2020-01-20,67
2020-01-20,68
2020-01-20,68
2020-01-20,68
2020-01-20,68
2020-01-20,69
2020-01-20,69
2020-01-20,69
2020-01-20,69
2020-01-21,69
2020-01-21,69
2020-01-21,69
2020-01-21,69
2020-01-21,67
2020-01-21,67
2020-01-21,67
2020-01-21,67
2020-01-21,66
2020-01-21,66
2020-01-21,66
2020-01-21,66
2020-01-22,64
2020-01-22,64
2020-01-22,64
2020-01-22,64
2020-01-22,64
2020-01-22,67
2020-01-22,67
2020-01-22,67
2020-01-22,67
2020-01-22,67
2020-01-22,66
2020-01-22,66
2020-01-22,66
2020-01-22,66
2020-01-22,66
2020-01-22,68
2020-01-22,68
2020-01-22,68
2020-01-22,68
2020-01-22,68
2020-01-23,67
2020-01-23,67
2020-01-23,67
2020-01-23,67
2020-01-23,68
2020-01-23,68
2020-01-23,68
2020-01-23,68
2020-01-23,64
2020-01-23,64
2020-01-23,64
2020-01-23,64
2020-01-24,68
2020-01-24,68
2020-01-24,68
2020-01-24,68
2020-01-24,67
2020-01-24,67
2020-01-24,67
2020-01-24,67
2020-01-24,65
2020-01-24,65
2020-01-24,65
2020-01-24,65
2020-01-25,65
2020-01-25,65
2020-01-25,65
2020-01-25,65
2020-01-25,62
2020-01-25,62
2020-01-25,62
2020-01-25,62
2020-01-25,64
2020-01-25,64
2020-01-25,64
2020-01-25,64
2020-01-25,67
2020-01-25,67
2020-01-25,67
2020-01-25,67
2020-01-26,66
2020-01-26,66
2020-01-26,66
2020-01-26,66
2020-01-26,68
2020-01-26,68
2020-01-26,68
2020-01-26,68
2020-01-26,64
2020-01-26,64
2020-01-26,64
2020-01-26,64
2020-01-27,63
2020-01-27,63
2020-01-27,63
2020-01-27,63
2020-01-27,63
2020-01-27,66
2020-01-27,66
2020-01-27,66
2020-01-27,66
2020-01-27,66
2020-01-27,68
2020-01-27,68
2020-01-27,68
2020-01-27,68
2020-01-27,68
2020-01-28,62
2020-01-28,62
2020-01-28,62
2020-01-28,62
2020-01-28,68
2020-01-28,68
2020-01-28,68
2020-01-28,68
2020-01-28,66
2020-01-28,66
2020-01-28,66
2020-01-28,66
2020-01-29,59
2020-01-29,59
2020-01-29,59
2020-01-29,59
2020-01-29,55
2020-01-29,55
2020-01-29,55
2020-01-29,55
2020-01-29,56
2020-01-29,56
2020-01-29,56
2020-01-29,56
2020-01-30,55
2020-01-30,55
2020-01-30,55
2020-01-30,55
2020-01-30,56
2020-01-30,56
2020-01-30,56
2020-01-30,56
2020-01-30,57
2020-01-30,57
2020-01-30,57
2020-01-30,57
2020-01-31,56
2020-01-31,56
2020-01-31,56
2020-01-31,56
2020-01-31,56
2020-01-31,67
2020-01-31,67
2020-01-31,67
2020-01-31,67
2020-01-31,67
2020-01-31,70
2020-01-31,70
2020-01-31,70
2020-01-31,70
2020-01-31,70
2020-01-31,69
2020-01-31,69
2020-01-31,69
2020-01-31,69
2020-01-31,69
2020-01-31,59
2020-01-31,59
2020-01-31,59
2020-01-31,59
2020-01-31,59
2020-02-01,63
2020-02-01,63
2020-02-01,63
2020-02-01,63
2020-02-01,64
2020-02-01,64
2020-02-01,64
2020-02-01,64
2020-02-01,66
2020-02-01,66
2020-02-01,66
2020-02-01,66
2020-02-02,63
2020-02-02,63
2020-02-02,63
2020-02-02,63
2020-02-02,64
2020-02-02,64
2020-02-02,64
2020-02-02,64
2020-02-02,61
2020-02-02,61
2020-02-02,61
2020-02-02,61
2020-02-02,57
2020-02-02,57
2020-02-02,57
2020-02-02,57
2020-02-03,64
2020-02-03,64
2020-02-03,64
2020-02-03,64
2020-02-03,63
2020-02-03,63
2020-02-03,63
2020-02-03,63
2020-02-03,65
2020-02-03,65
2020-02-03,65
2020-02-03,65
2020-02-03,69
2020-02-03,69
2020-02-03,69
2020-02-03,69
2020-02-04,63
2020-02-04,63
2020-02-04,63
2020-02-04,63
2020-02-04,63
2020-02-04,67
2020-02-04,67
2020-02-04,67
2020-02-04,67
2020-02-04,67
2020-02-04,61
2020-02-04,61
2020-02-04,61
2020-02-04,61
2020-02-04,61
2020-02-04,62
2020-02-04,62
2020-02-04,62
2020-02-04,62
2020-02-04,62
2020-02-05,61
2020-02-05,61
2020-02-05,61
2020-02-05,61
2020-02-05,67
2020-02-05,67
2020-02-05,67
2020-02-05,67
2020-02-05,70
2020-02-05,70
2020-02-05,70
2020-02-05,70
2020-02-05,69
2020-02-05,69
2020-02-05,69
2020-02-05,69
2020-02-06,57
2020-02-06,57
2020-02-06,57
2020-02-06,57
2020-02-06,72
2020-02-06,72
2020-02-06,72
2020-02-06,72
2020-02-06,71
2020-02-06,71
2020-02-06,71
2020-02-06,71
2020-02-07,67
2020-02-07,67
2020-02-07,67
2020-02-07,67
2020-02-07,71
2020-02-07,71
2020-02-07,71
2020-02-07,71
2020-02-07,70
2020-02-07,70
2020-02-07,70
2020-02-07,70
2020-02-07,75
2020-02-07,75
2020-02-07,75
2020-02-07,75
2020-02-08,66
2020-02-08,66
2020-02-08,66
2020-02-08,66
2020-02-08,63
2020-02-08,63
2020-02-08,63
2020-02-08,63
2020-02-08,62
2020-02-08,62
2020-02-08,62
2020-02-08,62
2020-02-09,62
2020-02-09,62
2020-02-09,62
2020-02-09,62
2020-02-09,62
2020-02-09,64
2020-02-09,64
2020-02-09,64
2020-02-09,64
2020-02-09,64
2020-02-09,68
2020-02-09,68
2020-02-09,68
2020-02-09,68
2020-02-09,68
2020-02-09,66
2020-02-09,66
2020-02-09,66
2020-02-09,66
2020-02-09,66
2020-02-10,67
2020-02-10,67
2020-02-10,67
2020-02-10,67
2020-02-10,73
2020-02-10,73
2020-02-10,73
2020-02-10,73
2020-02-10,70
2020-02-10,70
2020-02-10,70
2020-02-10,70
2020-02-11,68
2020-02-11,68
2020-02-11,68
2020-02-11,70
2020-02-11,70
2020-02-11,70
2020-02-12,67
2020-02-12,67
2020-02-12,67
2020-02-12,67
2020-02-12,74
2020-02-12,74
2020-02-12,74
2020-02-12,74
2020-02-12,73
2020-02-12,73
2020-02-12,73
2020-02-12,73
2020-02-13,69
2020-02-13,69
2020-02-13,69
2020-02-13,69
2020-02-13,69
2020-02-13,68
2020-02-13,68
2020-02-13,68
2020-02-13,68
2020-02-13,68
2020-02-13,75
2020-02-13,75
2020-02-13,75
2020-02-13,75
2020-02-13,75
2020-02-13,76
2020-02-13,76
2020-02-13,76
2020-02-13,76
2020-02-13,76
2020-02-13,71
2020-02-13,71
2020-02-13,71
2020-02-13,71
2020-02-13,71
2020-02-14,72
2020-02-14,72
2020-02-14,72
2020-02-14,72
2020-02-14,70
2020-02-14,70
2020-02-14,70
2020-02-14,70
2020-02-14,67
2020-02-14,67
2020-02-14,67
2020-02-14,67
2020-02-15,68
2020-02-15,68
2020-02-15,68
2020-02-15,60
2020-02-15,60
2020-02-15,60
2020-02-15,67
2020-02-15,67
2020-02-15,67
2020-02-16,64
2020-02-16,64
2020-02-16,64
2020-02-16,64
2020-02-16,69
2020-02-16,69
2020-02-16,69
2020-02-16,69
2020-02-16,70
2020-02-16,70
2020-02-16,70
2020-02-16,70
2020-02-16,71
2020-02-16,71
2020-02-16,71
2020-02-16,71
2020-02-17,70
2020-02-17,70
2020-02-17,70
2020-02-17,70
2020-02-17,71
2020-02-17,71
2020-02-17,71
2020-02-17,71
2020-02-17,72
2020-02-17,72
2020-02-17,72
2020-02-17,72
2020-02-17,69
2020-02-17,69
2020-02-17,69
2020-02-17,69
2020-02-18,67
2020-02-18,67
2020-02-18,67
2020-02-18,67
2020-02-18,70
2020-02-18,70
2020-02-18,70
2020-02-18,70
2020-02-18,71
2020-02-18,71
2020-02-18,71
2020-02-18,71
2020-02-18,68
2020-02-18,68
2020-02-18,68
2020-02-18,68
2020-02-19,67
2020-02-19,67
2020-02-19,67
2020-02-19,67
2020-02-19,68
2020-02-19,68
2020-02-19,68
2020-02-19,68
2020-02-19,66
2020-02-19,66
2020-02-19,66
2020-02-19,66
2020-02-20,68
2020-02-20,68
2020-02-20,68
2020-02-20,68
2020-02-20,71
2020-02-20,71
2020-02-20,71
2020-02-20,71
2020-02-20,70
2020-02-20,70
2020-02-20,70
2020-02-20,70
2020-02-20,72
2020-02-20,72
2020-02-20,72
2020-02-20,72
2020-02-21,72
2020-02-21,72
2020-02-21,72
2020-02-21,72
2020-02-21,72
2020-02-21,68
2020-02-21,68
2020-02-21,68
2020-02-21,68
2020-02-21,68
2020-02-21,70
2020-02-21,70
2020-02-21,70
2020-02-21,70
2020-02-21,70
2020-02-22,68
2020-02-22,68
2020-02-22,68
2020-02-22,68
2020-02-22,67
2020-02-22,67
2020-02-22,67
2020-02-22,67
2020-02-23,66
2020-02-23,66
2020-02-23,66
2020-02-23,66
2020-02-23,70
2020-02-23,70
2020-02-23,70
2020-02-23,70
2020-02-23,67
2020-02-23,67
2020-02-23,67
2020-02-23,67
2020-02-23,68
2020-02-23,68
2020-02-23,68
2020-02-23,68
2020-02-24,64
2020-02-24,64
2020-02-24,64
2020-02-24,64
2020-02-24,67
2020-02-24,67
2020-02-24,67
2020-02-24,67
2020-02-24,65
2020-02-24,65
2020-02-24,65
2020-02-24,65
2020-02-24,72
2020-02-24,72
2020-02-24,72
2020-02-24,72
2020-02-25,68
2020-02-25,68
2020-02-25,68
2020-02-25,68
2020-02-25,68
2020-02-25,66
2020-02-25,66
2020-02-25,66
2020-02-25,66
2020-02-25,66
2020-02-25,67
2020-02-25,67
2020-02-25,67
2020-02-25,67
2020-02-25,67
2020-02-25,64
2020-02-25,64
2020-02-25,64
2020-02-25,64
2020-02-25,64
2020-02-26,68
2020-02-26,68
2020-02-26,68
2020-02-26,68
2020-02-26,67
2020-02-26,67
2020-02-26,67
2020-02-26,67
2020-02-26,66
2020-02-26,66
2020-02-26,66
2020-02-26,66
2020-02-26,64
2020-02-26,64
2020-02-26,64
2020-02-26,64
2020-02-27,66
2020-02-27,66
2020-02-27,66
2020-02-27,66
2020-02-27,69
2020-02-27,69
2020-02-27,69
2020-02-27,69
2020-02-27,68
2020-02-27,68
2020-02-27,68
2020-02-27,68
2020-02-28,63
2020-02-28,63
2020-02-28,63
2020-02-28,63
2020-02-28,67
2020-02-28,67
2020-02-28,67
2020-02-28,67
2020-02-28,65
2020-02-28,65
2020-02-28,65
2020-02-28,65
2020-02-29,54
2020-02-29,54
2020-02-29,54
2020-02-29,54
2020-02-29,56
2020-02-29,56
2020-02-29,56
2020-02-29,56
2020-03-01,54
2020-03-01,54
2020-03-01,54
2020-03-01,54
2020-03-01,54
2020-03-01,56
2020-03-01,56
2020-03-01,56
2020-03-01,56
2020-03-01,56
2020-03-01,53
2020-03-01,53
2020-03-01,53
2020-03-01,53
2020-03-01,53
2020-03-01,51
2020-03-01,51
2020-03-01,51
2020-03-01,51
2020-03-01,51
2020-03-01,52
2020-03-01,52
2020-03-01,52
2020-03-01,52
2020-03-01,52
2020-03-02,47
2020-03-02,47
2020-03-02,47
2020-03-02,47
2020-03-02,51
2020-03-02,51
2020-03-02,51
2020-03-02,51
2020-03-02,50
2020-03-02,50
2020-03-02,50
2020-03-02,50
2020-03-02,53
2020-03-02,53
2020-03-02,53
2020-03-02,53
2020-03-03,56
2020-03-03,56
2020-03-03,56
