date,consum_avg
2019-03-07,8502
2019-03-08,7348
2019-03-09,6502
2019-03-10,6307
2019-03-11,7271
2019-03-12,6142
2019-03-13,7804
2019-03-13,6306
2019-03-14,8062
2019-03-15,7521
2019-03-16,7462
2019-03-17,6241
2019-03-18,5868
2019-03-19,6893
2019-03-19,6010
2019-03-20,8407
2019-03-21,7266
2019-03-22,7312
2019-03-23,6981
2019-03-24,5604
2019-03-25,6350
2019-03-25,5370
2019-03-26,8258
2019-03-27,7255
2019-03-28,7332
2019-03-29,7602
2019-03-30,6311
2019-03-31,5646
2019-04-01,7315
2019-04-01,5483
2019-04-02,7733
2019-04-03,7151
2019-04-04,7172
2019-04-05,7511
2019-04-06,6861
2019-04-07,5578
2019-04-08,7117
2019-04-08,5405
2019-04-09,7432
2019-04-10,7079
2019-04-11,7879
2019-04-12,7772
2019-04-13,6063
2019-04-14,5633
2019-04-15,8059
2019-04-15,5834
2019-04-16,7316
2019-04-17,7629
2019-04-18,8030
2019-04-19,7663
2019-04-20,6031
2019-04-21,6541
2019-04-21,5717
2019-04-22,7308
2019-04-23,7387
2019-04-24,7652
2019-04-25,7445
2019-04-26,5519
2019-04-27,5889
2019-04-27,5151
2019-04-28,5137
2019-04-29,4853
2019-04-30,5995
2019-05-01,6468
2019-05-02,5922
2019-05-03,5495
2019-05-04,6968
2019-05-04,5832
2019-05-05,5786
2019-05-06,7085
2019-05-07,7531
2019-05-08,7315
2019-05-09,5763
2019-05-10,7233
2019-05-10,5924
2019-05-11,6330
2019-05-12,5436
2019-05-13,6941
2019-05-14,7315
2019-05-15,5894
2019-05-16,5723
2019-05-17,6906
2019-05-19,5225
2019-05-20,6277
2019-05-20,4939
2019-05-21,6868
2019-05-22,6844
2019-05-23,6976
2019-05-24,7124
2019-05-25,5834
2019-05-26,4879
2019-05-27,7239
2019-05-27,5001
2019-05-28,6836
2019-05-29,7050
2019-05-30,7146
2019-05-31,6964
2019-06-01,5182
2019-06-02,5964
2019-06-02,5114
2019-06-03,6817
2019-06-04,6911
2019-06-06,7051
2019-06-08,5595
2019-06-09,5090
2019-06-10,7141
2019-06-10,5233
2019-06-11,7195
2019-06-12,7593
2019-06-13,7672
2019-06-14,7488
2019-06-15,5469
2019-06-16,5993
2019-06-16,5320
2019-06-17,6601
2019-06-18,7707
2019-06-19,7953
2019-06-20,7831
2019-06-21,6107
2019-06-22,5979
2019-06-22,5620
2019-06-23,6503
2019-06-24,7338
2019-06-25,7986
2019-06-26,7690
2019-06-27,7562
2019-06-28,5638
2019-06-29,6222
2019-06-29,5696
2019-06-30,5920
2019-07-01,7940
2019-07-02,7506
2019-07-03,5799
2019-07-04,7421
2019-07-04,6377
2019-07-05,7346
2019-07-06,6934
2019-07-07,5207
2019-07-08,5133
2019-07-09,7259
2019-07-09,6164
2019-07-10,6969
2019-07-11,7239
2019-07-12,7106
2019-07-13,5246
2019-07-14,6272
2019-07-14,5225
2019-07-15,6816
2019-07-16,7272
2019-07-17,7316
2019-07-18,5539
2019-07-19,7324
2019-07-19,5774
