date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
07/03/2019,2056,8502,1693,1359,1387,2391,8944,-1,57,-442
08/03/2019,2116,7348,1948,1105,1385,549,7211,52,57,137
09/03/2019,1544,6502,1290,1074,1396,229,6195,609,54,308
10/03/2019,1266,6307,734,861,1396,2654,7560,603,45,-1253
11/03/2019,1086,7271,1662,1089,1393,2174,7524,68,53,-254
12/03/2019,1203,6142,1744,880,1388,1746,7018,0,56,-876
13/03/2019,1779,7804,2415,1391,1382,972,7994,-1,56,-190
13/03/2019,1549,6306,1643,1299,1387,1106,7035,-1,51,-728
14/03/2019,1798,8062,2473,1328,1372,613,7642,0,59,420
15/03/2019,1673,7521,2314,1031,1381,234,7131,438,60,389
16/03/2019,1440,7462,1695,812,1390,2610,8376,386,42,-913
17/03/2019,1560,6241,1514,799,1395,299,5864,242,54,377
18/03/2019,1517,5868,1047,767,1397,857,5637,-1,52,231
19/03/2019,1620,6893,2514,980,1398,523,7080,-1,45,-187
19/03/2019,1508,6010,1264,771,1379,2108,7070,-1,41,-1060
20/03/2019,1685,8407,2649,991,1380,1505,8261,0,53,147
21/03/2019,1462,7266,2445,1228,1350,351,7232,345,51,34
22/03/2019,1407,7312,2041,1199,1332,927,7792,839,46,-481
23/03/2019,1452,6981,1704,770,1378,2298,8144,489,54,-1163
24/03/2019,1657,5604,1753,654,1379,75,5567,-1,49,36
25/03/2019,1390,6350,1915,774,1391,683,6198,-1,46,153
25/03/2019,1392,5370,1137,788,1396,481,5240,-1,46,131
26/03/2019,1696,8258,2758,1175,1394,250,7324,-1,51,934
27/03/2019,1488,7255,1772,721,1379,1551,7214,249,54,41
28/03/2019,1561,7332,2353,1122,1360,186,7436,803,52,-104
29/03/2019,1585,7602,2172,934,1379,379,7208,709,50,395
30/03/2019,1470,6311,1433,743,1370,467,5615,82,51,695
31/03/2019,1485,5646,1604,650,1368,43,5197,-1,48,448
01/04/2019,1671,7315,1752,589,1385,2237,7686,-1,53,-372
01/04/2019,1362,5483,1629,632,1395,46,5113,0,50,370
02/04/2019,1842,7733,2726,635,1386,200,6840,0,51,893
03/04/2019,1602,7151,1921,598,1386,602,6323,164,51,828
04/04/2019,1604,7172,1685,579,1317,967,6953,748,53,219
05/04/2019,1763,7511,1606,574,1340,1849,7955,772,52,-444
06/04/2019,1891,6861,1986,579,1392,709,6703,94,51,159
07/04/2019,1585,5578,1876,572,1390,323,5790,-1,45,-213
08/04/2019,1788,7117,2338,579,1391,728,6873,0,49,244
08/04/2019,1606,5405,1364,569,1390,429,5404,0,47,1
09/04/2019,1751,7432,2162,566,1388,683,6625,26,49,806
10/04/2019,1867,7079,2170,546,1383,168,6517,347,36,563
