date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2020-04-12,485,4856,1556,663,1425,159,4340,0,51,516
2020-04-12,488,5144,1500,652,1431,47,4959,790,50,185
2020-04-12,497,4984,1126,610,1424,1193,5160,263,47,-176
2020-04-12,422,5132,866,619,1426,2052,5433,0,48,-301
2020-04-13,438,4998,446,612,1425,1555,4526,0,50,471
2020-04-13,480,6237,970,601,1381,1838,6033,714,49,204
2020-04-13,450,5892,1088,611,1405,2260,6043,180,48,-151
2020-04-13,482,5385,1522,629,1418,1665,5762,0,47,-377
2020-04-14,500,5052,1259,617,1423,814,4664,0,50,388
2020-04-14,600,6649,1910,623,1378,988,5846,296,50,803
2020-04-14,651,6303,1345,625,1423,2316,6492,86,48,-189
2020-04-14,651,5679,1264,620,1427,2613,6624,0,49,-945
2020-04-15,850,5324,1540,765,1420,929,5556,0,52,-232
2020-04-15,759,6428,1803,936,1358,665,6296,728,49,131
2020-04-15,848,6141,1828,1007,1417,381,5800,272,49,341
2020-04-16,749,5604,1096,863,1425,1701,5884,0,50,-280
2020-04-16,804,5344,1603,943,1420,386,5205,0,50,139
2020-04-16,580,6014,1400,813,1376,581,5609,812,46,405
2020-04-16,589,5880,1765,828,1414,1498,6460,323,44,-580
2020-04-17,581,5522,1687,930,1427,1667,6336,0,45,-814
2020-04-17,546,4809,1404,952,1424,840,5207,0,42,-397
2020-04-17,601,5400,1913,778,1371,0,5390,684,44,9
2020-04-17,613,5394,1892,780,1419,285,5334,302,43,61
2020-04-18,631,5110,1682,800,1424,367,4947,0,44,163
2020-04-18,628,4589,1547,566,1423,590,4796,0,44,-207
2020-04-18,616,5640,1769,560,1426,706,5852,734,42,-212
2020-04-18,627,5535,1806,564,1425,861,5566,242,41,-31
2020-04-19,750,5295,2133,619,1422,638,5601,0,39,-306
2020-04-19,752,4245,1509,574,1416,21,4314,0,41,-68
2020-04-19,675,4436,1306,554,1417,183,4744,570,38,-308
2020-04-19,690,4442,1643,564,1418,482,4997,164,36,-554
2020-04-20,679,4506,1241,591,1424,981,4951,0,35,-446
2020-04-20,605,4127,1363,558,1420,1134,5108,0,27,-981
2020-04-20,587,4777,539,780,1418,2138,5967,476,30,-1190
2020-04-20,607,4681,1595,801,1420,801,5447,194,29,-766
2020-04-21,669,4520,1283,798,1419,554,4758,0,36,-238
2020-04-21,706,4760,1013,781,1418,978,4948,14,38,-188
2020-04-21,690,5763,1546,782,1406,338,5483,676,45,281
2020-04-21,742,5775,1824,782,1414,527,5412,83,40,362
2020-04-22,646,5016,1543,950,1410,37,4629,0,43,387
2020-04-22,648,5352,1537,788,1388,507,4922,12,43,430
2020-04-22,605,6140,1880,720,1359,401,5793,785,43,347
2020-04-22,602,6096,1947,723,1382,553,5282,32,45,814
2020-04-23,600,5116,1530,799,1395,384,4751,0,43,365
2020-04-23,578,5516,1706,707,1400,304,4803,62,46,713
2020-04-23,579,5837,1584,704,1375,21,5141,833,45,696
2020-04-23,624,5785,1707,752,1393,456,5005,29,45,780
2020-04-24,620,5949,1711,632,1338,53,4983,583,46,965
2020-04-24,624,5417,1127,744,1364,789,5329,635,46,87
2020-04-24,625,6112,1478,740,1401,2050,6339,0,46,-228
2020-04-25,397,4764,1248,478,1424,1335,4928,-1,46,-165
2020-04-25,446,5738,1883,473,1422,563,5377,542,49,360
2020-04-25,420,5441,1767,457,1421,1318,5986,555,48,-545
2020-04-25,428,6138,2029,490,1426,2046,6465,0,48,-327
2020-04-26,314,4529,1241,436,1425,1569,5033,-1,48,-504
2020-04-26,295,5050,956,464,1424,1842,5562,538,43,-512
2020-04-26,374,4890,1445,499,1417,326,4636,527,48,254
2020-04-26,406,5804,2104,526,1417,436,4936,0,47,868
2020-04-27,311,4543,1540,443,1405,445,4191,0,47,352
2020-04-27,341,6089,1939,894,1304,9,5134,601,45,956
2020-04-27,406,5809,1602,869,1385,338,5295,651,44,514
2020-04-27,514,6380,2253,698,1399,1182,6086,0,41,294
2020-04-28,629,4821,1138,655,1406,929,4800,0,42,21
2020-04-28,729,6238,1336,764,1350,1046,5815,544,45,424
2020-04-28,886,5847,1075,684,1394,2541,7186,562,45,-1339
2020-04-28,913,6311,1730,714,1417,2365,7186,0,44,-875
2020-04-29,860,4815,1259,640,1419,1688,5910,0,44,-1095
