date,hidro
19/04/2021,1973.6628
19/04/2021,1700.5513
19/04/2021,1973.6628
20/04/2021,1956.9995
21/04/2021,1700.5513
21/04/2021,1708.4838
21/04/2021,1700.5513
21/04/2021,1708.4838
22/04/2021,1577.132
23/04/2021,1659.0626
24/04/2021,1683.6085
24/04/2021,1702.4385
24/04/2021,1683.6085
24/04/2021,1702.4385
25/04/2021,1445.8119
26/04/2021,1435.7117
27/04/2021,1467.9984
27/04/2021,1611.8192
27/04/2021,1467.9984
27/04/2021,1611.8192
28/04/2021,1703.8104
29/04/2021,1602.0446
29/04/2021,1806.3646
29/04/2021,1602.0446
29/04/2021,1806.3646
30/04/2021,1707.1659
01/05/2021,1698.4443
02/05/2021,1763.0195
02/05/2021,1550.0996
02/05/2021,1763.0195
02/05/2021,1550.0996
03/05/2021,1508.8503
04/05/2021,1591.5134
05/05/2021,1949.6222
05/05/2021,2199.504
05/05/2021,1949.6222
05/05/2021,2199.504
06/05/2021,2144.4097
07/05/2021,1968.7615
07/05/2021,2167.8577
07/05/2021,1968.7615
07/05/2021,2167.8577
08/05/2021,1745.151
09/05/2021,1787.3732
10/05/2021,1745.4583
10/05/2021,1961.5403
10/05/2021,1745.4583
10/05/2021,1961.5403
11/05/2021,2122.3018
12/05/2021,1921.5868
13/05/2021,2456.562
13/05/2021,2338.4026
13/05/2021,2456.562
13/05/2021,2338.4026
14/05/2021,2067.1785
15/05/2021,2224.7795
16/05/2021,2732.6028
16/05/2021,2571.3179
16/05/2021,2732.6028
16/05/2021,2571.3179
17/05/2021,2712.2786
18/05/2021,2715.9019
19/05/2021,2738.9841
19/05/2021,2738.9841
19/05/2021,2738.9841
19/05/2021,2738.9841
20/05/2021,2652.559
21/05/2021,2485.2769
21/05/2021,2734.3257
21/05/2021,2485.2769
21/05/2021,2734.3257
22/05/2021,2543.3613
23/05/2021,2570.1821
24/05/2021,2734.3257
24/05/2021,2737.2612
24/05/2021,2734.3257
24/05/2021,2737.2612
25/05/2021,2670.3997
26/05/2021,2458.5715
27/05/2021,2689.1355
27/05/2021,2724.1091
27/05/2021,2689.1355
27/05/2021,2724.1091
28/05/2021,2652.559
29/05/2021,2485.2769
29/05/2021,2738.9841
29/05/2021,2485.2769
29/05/2021,2738.9841
30/05/2021,2561.8315
31/05/2021,2708.0535
01/06/2021,2737.2612
01/06/2021,2738.9841
01/06/2021,2737.2612
01/06/2021,2738.9841
02/06/2021,2738.9841
03/06/2021,2738.9841
04/06/2021,2738.9841
05/06/2021,2712.2786
05/06/2021,2693.794
05/06/2021,2712.2786
05/06/2021,2693.794
06/06/2021,2734.3257
07/06/2021,2738.9841
08/06/2021,2728.614
09/06/2021,2698.404
09/06/2021,2674.634
09/06/2021,2698.404
09/06/2021,2674.634
10/06/2021,2613.482
11/06/2021,2359.2659
11/06/2021,2423.9434
11/06/2021,2359.2659
11/06/2021,2423.9434
12/06/2021,2163.4954
13/06/2021,2028.7065
14/06/2021,2058.7283
14/06/2021,2034.945
14/06/2021,2058.7283
14/06/2021,2034.945
15/06/2021,2166.9524
16/06/2021,1907.5009
16/06/2021,2246.2744
16/06/2021,1907.5009
16/06/2021,2246.2744
17/06/2021,1911.276
18/06/2021,2074.5813
19/06/2021,2324.7432
19/06/2021,2435.5745
19/06/2021,2324.7432
19/06/2021,2435.5745
20/06/2021,2222.8438
21/06/2021,2172.8457
22/06/2021,2412.9292
22/06/2021,2505.0955
22/06/2021,2412.9292
22/06/2021,2505.0955
23/06/2021,2176.6873
24/06/2021,2113.5107
25/06/2021,2646.2874
26/06/2021,2221.0183
26/06/2021,2299.876
26/06/2021,2221.0183
26/06/2021,2299.876
27/06/2021,2023.8801
28/06/2021,2016.9906
29/06/2021,2138.3975
29/06/2021,2169.0425
29/06/2021,2138.3975
29/06/2021,2169.0425
30/06/2021,2089.6929
01/07/2021,1888.9066
01/07/2021,1898.3455
01/07/2021,1888.9066
01/07/2021,1898.3455
02/07/2021,1636.5806
03/07/2021,1810.6528
04/07/2021,1674.0042
04/07/2021,1613.7228
04/07/2021,1674.0042
04/07/2021,1613.7228
05/07/2021,1506.75
06/07/2021,1695.2313
07/07/2021,1971.197
07/07/2021,1912.6895
07/07/2021,1971.197
07/07/2021,1912.6895
08/07/2021,1887.2942
09/07/2021,1944.8186
10/07/2021,1980.5398
11/07/2021,1667.1862
12/07/2021,1837.8206
13/07/2021,1862.763
14/07/2021,1778.5026
14/07/2021,1980.0828
14/07/2021,1778.5026
14/07/2021,1980.0828
15/07/2021,1887.2942
16/07/2021,1637.2971
16/07/2021,1745.2795
16/07/2021,1637.2971
16/07/2021,1745.2795
17/07/2021,1299.1787
18/07/2021,1369.4503
19/07/2021,1397.3549
19/07/2021,1602.0446
19/07/2021,1397.3549
19/07/2021,1602.0446
20/07/2021,1697.9263
21/07/2021,1554.1914
22/07/2021,1700.0176
22/07/2021,1742.0128
