date,hidrocarburti
19/04/2021,956.96014
19/04/2021,738.81995
19/04/2021,956.96014
20/04/2021,997.5776
21/04/2021,988.90753
21/04/2021,995.29626
21/04/2021,988.90753
21/04/2021,995.29626
22/04/2021,989.44824
23/04/2021,948.8068
24/04/2021,918.4463
24/04/2021,920.51184
24/04/2021,918.4463
24/04/2021,920.51184
25/04/2021,779.3462
26/04/2021,773.85675
27/04/2021,951.2612
27/04/2021,995.5119
27/04/2021,951.2612
27/04/2021,995.5119
28/04/2021,995.29626
29/04/2021,1152.0818
29/04/2021,1313.5908
29/04/2021,1152.0818
29/04/2021,1313.5908
30/04/2021,1161.861
01/05/2021,866.1022
02/05/2021,551.3034
02/05/2021,511.3765
02/05/2021,551.3034
02/05/2021,511.3765
03/05/2021,727.5414
04/05/2021,727.5414
05/05/2021,725.2601
05/05/2021,697.69464
05/05/2021,725.2601
05/05/2021,697.69464
06/05/2021,721.4777
07/05/2021,902.49146
07/05/2021,948.8068
07/05/2021,902.49146
07/05/2021,948.8068
08/05/2021,630.7671
09/05/2021,488.2275
10/05/2021,699.97595
10/05/2021,663.58203
10/05/2021,699.97595
10/05/2021,663.58203
11/05/2021,702.9863
12/05/2021,988.943
13/05/2021,1001.97644
13/05/2021,991.5139
13/05/2021,1001.97644
13/05/2021,991.5139
14/05/2021,946.7413
15/05/2021,918.4463
16/05/2021,832.7601
16/05/2021,520.89185
16/05/2021,832.7601
16/05/2021,520.89185
17/05/2021,680.27814
18/05/2021,1050.208
19/05/2021,1005.7588
19/05/2021,1092.1768
19/05/2021,1005.7588
19/05/2021,1092.1768
20/05/2021,949.31555
21/05/2021,942.41833
21/05/2021,725.087
21/05/2021,942.41833
21/05/2021,725.087
22/05/2021,650.4766
23/05/2021,464.1129
24/05/2021,663.58203
24/05/2021,683.2885
24/05/2021,663.58203
24/05/2021,683.2885
25/05/2021,680.27814
26/05/2021,948.9799
27/05/2021,989.44824
27/05/2021,1031.4752
27/05/2021,989.44824
27/05/2021,1031.4752
28/05/2021,968.8753
29/05/2021,920.51184
29/05/2021,632.83264
29/05/2021,920.51184
29/05/2021,632.83264
30/05/2021,447.41672
31/05/2021,702.9863
01/06/2021,728.8809
01/06/2021,702.7216
01/06/2021,728.8809
01/06/2021,702.7216
02/06/2021,726.5996
03/06/2021,946.5371
04/06/2021,826.51886
05/06/2021,919.66473
05/06/2021,923.9877
05/06/2021,919.66473
05/06/2021,923.9877
06/06/2021,822.4034
07/06/2021,791.05426
08/06/2021,985.561
09/06/2021,1029.5955
09/06/2021,1029.5955
09/06/2021,1029.5955
09/06/2021,1029.5955
10/06/2021,1035.4178
11/06/2021,983.10657
11/06/2021,1082.0533
11/06/2021,983.10657
11/06/2021,1082.0533
12/06/2021,1023.41864
13/06/2021,544.7284
14/06/2021,699.8911
14/06/2021,1030.5433
14/06/2021,699.8911
14/06/2021,1030.5433
15/06/2021,816.218
16/06/2021,1028.1409
16/06/2021,1074.4572
16/06/2021,1028.1409
16/06/2021,1074.4572
17/06/2021,1070.6747
18/06/2021,1027.9684
19/06/2021,1053.0875
19/06/2021,1109.0834
19/06/2021,1053.0875
19/06/2021,1109.0834
20/06/2021,871.03625
21/06/2021,789.0587
22/06/2021,1033.4326
22/06/2021,1173.6198
22/06/2021,1033.4326
22/06/2021,1173.6198
23/06/2021,1254.2236
24/06/2021,1149.1293
25/06/2021,1126.915
26/06/2021,1167.2273
26/06/2021,1167.2273
26/06/2021,1167.2273
26/06/2021,1167.2273
27/06/2021,933.4391
28/06/2021,1076.7384
29/06/2021,1173.6198
29/06/2021,1244.2924
29/06/2021,1173.6198
29/06/2021,1244.2924
30/06/2021,1183.0265
01/07/2021,1180.0847
01/07/2021,1139.2819
01/07/2021,1180.0847
01/07/2021,1139.2819
02/07/2021,1126.915
03/07/2021,1072.5396
04/07/2021,868.1123
04/07/2021,959.51965
04/07/2021,868.1123
04/07/2021,959.51965
05/07/2021,1145.3456
06/07/2021,1173.6198
07/07/2021,1183.0265
07/07/2021,1192.5874
07/07/2021,1183.0265
07/07/2021,1192.5874
08/07/2021,1250.4412
09/07/2021,1195.5221
10/07/2021,1179.4398
11/07/2021,941.39233
12/07/2021,1175.6853
13/07/2021,1244.2924
14/07/2021,1262.9438
14/07/2021,1273.1387
14/07/2021,1262.9438
14/07/2021,1273.1387
15/07/2021,1250.4412
16/07/2021,1207.7346
16/07/2021,1108.7877
